company_name,rating,reviews,jobs,interviews,highly_rated_for,critically_rated_for,salary_range
First Source,3.7,4.3k,94,274,,"Promotions / Appraisal, Salary & Benefits",Average
L&T Technology Services,3.4,4.3k,3,497,,"Promotions / Appraisal, Salary & Benefits, Work Satisfaction",Average
Standard Chartered,3.8,4.2k,285,255,Job Security,Promotions / Appraisal,Average
DMart,3.9,4.2k,95,374,"Job Security, Company Culture",Promotions / Appraisal,Average
JustDial,3.5,4.2k,70,316,,"Promotions / Appraisal, Work Satisfaction, Job Security",Average
BigBasket,4.0,4.2k,3,337,Job Security,Promotions / Appraisal,Average
ICICI Lombard General Insurance Company,3.7,4.2k,121,253,,"Promotions / Appraisal, Work Satisfaction",Average
Vivo,4.1,4.2k,1,183,"Skill Development / Learning, Company Culture, Work Life Balance",Promotions / Appraisal,High
Hero MotoCorp,4.2,4.2k,--,310,"Work Life Balance, Company Culture, Job Security",,High
Home Credit Finance,4.1,4.2k,84,109,"Company Culture, Work Life Balance, Skill Development / Learning",Promotions / Appraisal,High
Cyient,3.7,4.2k,100,274,,"Promotions / Appraisal, Salary & Benefits, Work Satisfaction",Average
CGI Group,4.1,4.2k,202,453,"Job Security, Work Life Balance, Company Culture",Promotions / Appraisal,High
GlobalLogic,3.7,4.2k,103,533,Work Life Balance,"Promotions / Appraisal, Salary & Benefits, Skill Development / Learning",Average
Mahindra Finance,4.1,4.1k,35,141,"Company Culture, Job Security, Skill Development / Learning",,High
Cholamandalam Investment & Finance,4.0,4k,36,160,"Salary & Benefits, Job Security, Skill Development / Learning",,Average
Equitas Small Finance Bank,4.3,4k,890,173,"Job Security, Company Culture, Work Life Balance",,High
UST,3.9,4k,64,468,"Work Life Balance, Company Culture",Promotions / Appraisal,Average
Bosch Global Software Technologies,4.0,4k,12,310,"Job Security, Work Life Balance, Company Culture","Promotions / Appraisal, Salary & Benefits",Average
OPPO,4.0,4k,16,200,Skill Development / Learning,Promotions / Appraisal,Average
Nagarro,4.0,3.9k,33,732,"Work Life Balance, Company Culture, Salary & Benefits",,Average
Manappuram Finance,4.0,3.9k,18,139,"Skill Development / Learning, Promotions / Appraisal",,Average
