company_name,rating,reviews,jobs,interviews,highly_rated_for,critically_rated_for,salary_range
Ofbusiness,3.3,443,32,32,,"Job Security, Work Satisfaction, Work Life Balance",Average
Essjay Ericsson,4.2,442,--,11,"Company Culture, Skill Development / Learning, Salary & Benefits",,High
Central Bank of India,3.8,442,--,28,,Promotions / Appraisal,Average
Blackberrys,4.1,442,4,22,"Skill Development / Learning, Work Life Balance, Company Culture",,High
Sintex-bapl,3.8,442,--,31,,"Promotions / Appraisal, Job Security",Average
Scaler Academy,3.8,442,2,72,"Salary & Benefits, Work Life Balance",Job Security,Average
Manjushree Technopack,3.7,442,1,34,,"Promotions / Appraisal, Company Culture, Work Life Balance",Average
Damco Solutions,4.1,441,10,21,"Job Security, Work Life Balance, Company Culture",,High
URC Construction,3.5,441,7,54,,"Promotions / Appraisal, Salary & Benefits, Work Life Balance",Average
CompuCom,4.0,441,7,32,"Work Life Balance, Company Culture",Promotions / Appraisal,Average
Aptiv,3.4,441,150,52,,"Promotions / Appraisal, Work Satisfaction, Company Culture",Average
Dishman Carbogen Amcis,3.8,440,4,27,Work Life Balance,"Promotions / Appraisal, Job Security",Average
Ministry of Defence,4.4,440,--,7,"Job Security, Work Satisfaction, Work Life Balance",,High
Maharashtra State Electricity Distribution Company,4.2,440,--,19,"Skill Development / Learning, Work Satisfaction, Company Culture",,High
TSYS|Total System Services,4.2,439,--,60,"Work Life Balance, Company Culture, Job Security",,High
Super Smelters,4.0,439,--,29,"Skill Development / Learning, Job Security, Company Culture","Promotions / Appraisal, Salary & Benefits",Average
SMC Global Securities,3.5,439,12,40,,"Promotions / Appraisal, Salary & Benefits, Skill Development / Learning",Average
Cpf India,4.1,439,--,19,"Job Security, Work Life Balance, Company Culture",,High
Hamilton Housewares,3.9,439,11,28,"Job Security, Work Life Balance",Promotions / Appraisal,Average
Jaipur Rugs,4.5,438,3,21,"Skill Development / Learning, Company Culture, Work Life Balance",,High
Chaayos,3.4,438,6,33,,"Job Security, Work Life Balance, Work Satisfaction",Average
Cotiviti,3.9,438,19,69,"Job Security, Work Life Balance",Promotions / Appraisal,Average
ANR Software Private Limited,4.5,437,4,25,"Job Security, Skill Development / Learning, Company Culture",,High
Sulekha.com,4.2,436,8,16,"Salary & Benefits, Job Security, Work Life Balance",,High
Eicher Motors,4.2,436,--,30,"Skill Development / Learning, Company Culture, Work Life Balance",,High
Axiscades,3.2,435,2,52,,"Promotions / Appraisal, Salary & Benefits, Skill Development / Learning",Average
NJ India Invest,3.8,435,43,44,"Company Culture, Job Security",Promotions / Appraisal,Average
Excitel Broadband,3.7,435,5,48,,"Promotions / Appraisal, Job Security, Work Satisfaction",Average
Amar Ujala,3.9,434,3,19,"Job Security, Company Culture",Promotions / Appraisal,Average
Carrier,3.8,434,146,44,"Work Life Balance, Company Culture",Promotions / Appraisal,Average
Baker Hughes,4.1,434,4,45,"Work Life Balance, Company Culture, Salary & Benefits",Promotions / Appraisal,High
Wolters Kluwer,3.9,434,3,75,"Job Security, Work Life Balance",Promotions / Appraisal,Average
Schindler Group,3.7,433,--,20,Skill Development / Learning,"Promotions / Appraisal, Job Security",Average
Efs Facilities Services,3.8,433,7,23,,Promotions / Appraisal,Average
Wissen Technology,3.9,433,49,130,"Job Security, Skill Development / Learning, Salary & Benefits",,Average
T.v. Sundram Iyengar & Sons,4.2,433,--,8,"Company Culture, Skill Development / Learning, Job Security",,High
J K Fenner,3.9,433,--,26,,Promotions / Appraisal,Average
Solara Active Pharma Sciences,3.8,433,--,38,,"Promotions / Appraisal, Job Security, Company Culture",Average
Karvy Data Management,3.2,432,--,1,,"Salary & Benefits, Job Security, Promotions / Appraisal",Average
Maini Precision Products,3.5,432,11,29,,"Promotions / Appraisal, Salary & Benefits, Job Security",Average
Torry Harris Integration Solutions,3.9,432,10,54,"Work Life Balance, Job Security",Promotions / Appraisal,Average
Impetus Technologies,3.6,432,10,86,Job Security,"Work Satisfaction, Promotions / Appraisal",Average
Kajaria Ceramics,4.2,432,--,18,"Work Life Balance, Job Security, Salary & Benefits",,High
L & W Constructions,3.6,431,2,24,,"Promotions / Appraisal, Work Life Balance, Company Culture",Average
Herbalife International,4.0,431,3,25,"Company Culture, Work Life Balance, Salary & Benefits",,Average
Kirloskar Pneumatic,4.2,431,--,29,"Job Security, Company Culture, Work Life Balance",,High
K D Hospital,4.8,430,--,14,"Skill Development / Learning, Company Culture, Job Security",,High
Williams Lea,3.9,430,2,38,"Work Life Balance, Salary & Benefits",,Average
Inspirisys Solution,3.8,430,4,40,Job Security,"Promotions / Appraisal, Salary & Benefits",Average
Suroj Buildcon,4.2,430,3,20,"Job Security, Company Culture, Skill Development / Learning",,High
Ascent HR Technologies Private Limited,3.8,430,1,23,Skill Development / Learning,"Promotions / Appraisal, Salary & Benefits",Average
RadiSys,4.1,430,--,37,"Skill Development / Learning, Company Culture, Work Life Balance",,High
Voltech,3.5,429,--,26,Skill Development / Learning,"Salary & Benefits, Promotions / Appraisal, Company Culture",Average
Offshore Infrastructures,4.2,428,--,17,"Job Security, Skill Development / Learning, Work Life Balance",,High
2COMS,3.8,428,433,31,Skill Development / Learning,Promotions / Appraisal,Average
Vedang Cellular Services,3.9,428,5,22,Salary & Benefits,,Average
Ramkrishna Forgings,3.5,428,--,41,,"Promotions / Appraisal, Company Culture, Work Satisfaction",Average
Celebi Aviation Holding,3.9,427,--,24,Skill Development / Learning,Promotions / Appraisal,Average
Xerox,3.9,427,4,21,"Work Life Balance, Company Culture","Promotions / Appraisal, Salary & Benefits, Skill Development / Learning",Average
Infiniti Research,4.0,427,9,31,"Job Security, Work Life Balance, Skill Development / Learning",,Average
Dineshchandra R Agarwal Infracon,4.2,427,6,30,"Salary & Benefits, Work Satisfaction, Job Security",,High
TVS Eurogrip,3.7,427,5,24,,"Promotions / Appraisal, Company Culture, Salary & Benefits",Average
Saudi Binladin Group,4.1,427,--,30,"Work Life Balance, Skill Development / Learning, Job Security",,High
Inspira Enterprise India Limited,3.7,426,4,39,,"Promotions / Appraisal, Company Culture",Average
Transrail Lighting,3.9,426,2,35,Job Security,"Promotions / Appraisal, Skill Development / Learning",Average
Heidelberg Cement,4.2,426,--,27,"Job Security, Work Life Balance, Company Culture",,High
NBTC GROUP,3.5,426,--,18,,"Promotions / Appraisal, Company Culture, Work Life Balance",Average
IDBI Intech Limited,3.6,426,2,35,"Job Security, Work Life Balance","Promotions / Appraisal, Salary & Benefits, Company Culture",Average
Apollo Health and Lifestyle,4.2,425,--,26,"Job Security, Company Culture, Skill Development / Learning",Promotions / Appraisal,High
ANAROCK Property Consultants,3.8,425,71,47,,"Promotions / Appraisal, Work Satisfaction",Average
Glorious Insight,4.7,424,--,2,"Job Security, Company Culture, Work Satisfaction",,High
HealthifyMe,3.0,424,9,45,,"Job Security, Promotions / Appraisal, Work Life Balance",Below Average
Coats,3.9,424,3,19,"Company Culture, Work Life Balance",Promotions / Appraisal,Average
Paras Dairy,3.5,424,--,16,,"Job Security, Promotions / Appraisal, Company Culture",Average
Canon,4.1,423,4,15,"Company Culture, Work Life Balance, Job Security",Promotions / Appraisal,High
RAK Ceramics,4.0,423,1,29,Skill Development / Learning,Promotions / Appraisal,Average
Hettich,4.1,423,2,28,"Job Security, Work Life Balance, Company Culture",,High
ReSource Pro,4.1,423,18,79,"Company Culture, Salary & Benefits, Work Life Balance",,High
Cashify,3.8,423,2,37,,Job Security,Average
Accion Labs,3.4,423,37,65,,"Promotions / Appraisal, Job Security, Work Satisfaction",Average
Surin Automotive,3.9,423,--,18,Salary & Benefits,,Average
Cadbury,4.4,422,--,19,"Skill Development / Learning, Company Culture, Salary & Benefits",,High
Webskitters,4.4,422,1,12,"Skill Development / Learning, Company Culture, Job Security",,High
ExportersIndia,4.9,422,14,23,"Company Culture, Job Security, Promotions / Appraisal",,High
Marelli,3.8,422,5,34,Work Life Balance,Promotions / Appraisal,Average
RuralShores,3.9,422,5,15,,Promotions / Appraisal,Average
South Indian Bank,3.5,422,--,68,"Job Security, Salary & Benefits","Work Satisfaction, Promotions / Appraisal, Work Life Balance",Average
Danfoss Industries,4.0,422,10,28,"Work Life Balance, Company Culture, Skill Development / Learning",,Average
Orient Craft,3.7,421,--,7,,,Average
Mecon,4.0,421,--,40,Work Life Balance,"Promotions / Appraisal, Job Security",Average
Healthians,3.5,421,15,38,,"Promotions / Appraisal, Job Security, Company Culture",Average
Writer Information Management Services,3.3,421,4,23,,"Promotions / Appraisal, Salary & Benefits, Skill Development / Learning",Average
VDA Infosolutions,3.9,420,1,22,"Job Security, Company Culture, Work Life Balance",,Average
Transport Corporation Of India,4.1,420,--,23,"Job Security, Skill Development / Learning",,High
Etech Global Services,4.3,420,13,37,"Job Security, Company Culture, Work Satisfaction",,High
ACKO,3.7,420,5,40,,"Promotions / Appraisal, Skill Development / Learning, Work Satisfaction",Average
People Tech Group,2.7,420,4,59,,"Job Security, Promotions / Appraisal, Salary & Benefits",Below Average
Tuaman Engineering,4.1,420,--,26,"Salary & Benefits, Job Security, Skill Development / Learning",,High
NLC India Limited,4.5,420,--,22,"Work Life Balance, Job Security, Work Satisfaction",,High
Wissen Infotech,3.8,420,76,42,Work Life Balance,Promotions / Appraisal,Average
BSCPL Infrastructure,3.8,419,6,27,,"Salary & Benefits, Promotions / Appraisal",Average
Crystal Crop Protection,4.0,419,--,14,,Promotions / Appraisal,Average
Reshamandi,3.6,419,--,15,,"Job Security, Promotions / Appraisal",Average
McNally Bharat Engineering,4.1,419,--,11,"Company Culture, Work Life Balance, Work Satisfaction",Promotions / Appraisal,High
CSG International,4.1,419,3,48,"Work Life Balance, Company Culture, Job Security",Promotions / Appraisal,High
Jindal Poly Films,3.6,419,--,33,,"Promotions / Appraisal, Company Culture, Job Security",Average
Sapphire Foods India,4.0,419,9,17,"Skill Development / Learning, Salary & Benefits, Company Culture",,Average
Toyota Industries Engine India,4.3,419,--,24,"Company Culture, Salary & Benefits, Skill Development / Learning",Promotions / Appraisal,High
Educomp Solutions,3.6,418,--,5,,"Job Security, Salary & Benefits, Promotions / Appraisal",Average
BUSINESSNEXT,3.6,418,14,54,,"Work Satisfaction, Promotions / Appraisal, Salary & Benefits",Average
Radico Khaitan,3.9,418,--,21,Job Security,Promotions / Appraisal,Average
Carlsberg,4.2,417,--,24,"Salary & Benefits, Job Security, Company Culture",,High
Gopal Snacks Limited,4.5,417,--,27,"Company Culture, Work Satisfaction, Skill Development / Learning",,High
Bajaj Capital Insurance,3.6,417,--,20,,"Promotions / Appraisal, Work Satisfaction, Work Life Balance",Average
Pathkind Diagnostics Private Limited,4.0,417,9,43,"Skill Development / Learning, Work Life Balance, Salary & Benefits",,Average
Novac Technology Solutions,3.9,416,26,57,"Job Security, Work Life Balance","Promotions / Appraisal, Salary & Benefits",Average
Nelito System,3.6,416,1,23,,"Promotions / Appraisal, Skill Development / Learning, Salary & Benefits",Average
Magic Edtech,3.1,416,2,45,,"Promotions / Appraisal, Salary & Benefits, Job Security",Average
Dr. Reddy's Foundation,4.0,416,26,49,"Skill Development / Learning, Company Culture, Work Life Balance",Promotions / Appraisal,Average
Jayaswal Neco Industries,4.1,416,--,24,"Job Security, Skill Development / Learning",Promotions / Appraisal,High
IKEA,4.0,416,1,27,"Work Life Balance, Job Security, Company Culture",Promotions / Appraisal,Average
KnowledgeHut,4.5,414,--,10,"Skill Development / Learning, Work Life Balance, Work Satisfaction",,High
Riya Travel,3.7,414,4,9,,"Promotions / Appraisal, Salary & Benefits",Average
Wellness Forever Medicare,3.9,414,8,42,"Skill Development / Learning, Company Culture",Promotions / Appraisal,Average
IDP Education Limited,3.6,414,12,54,,"Promotions / Appraisal, Work Satisfaction, Skill Development / Learning",Average
Trianz,3.5,414,27,43,,"Promotions / Appraisal, Job Security, Work Satisfaction",Average
Sapiens,3.4,413,45,55,,"Promotions / Appraisal, Work Satisfaction, Skill Development / Learning",Average
Pace Setters Business Solutions,3.3,413,3,19,,"Salary & Benefits, Promotions / Appraisal, Work Satisfaction",Average
Dodsal Engineering & Construction,4.5,413,--,16,"Work Satisfaction, Company Culture, Work Life Balance",,High
Gainwell Commosales,4.2,413,--,32,"Job Security, Skill Development / Learning, Company Culture",,High
McCain Foods,4.2,413,17,31,"Salary & Benefits, Company Culture, Skill Development / Learning",,High
BLK Super Speciality Hospital,4.1,413,--,23,"Skill Development / Learning, Job Security",Promotions / Appraisal,High
Texmo Industries,3.9,413,3,21,"Company Culture, Job Security","Promotions / Appraisal, Salary & Benefits",Average
TriGeo Technologies,3.2,413,--,25,,"Promotions / Appraisal, Salary & Benefits, Company Culture",Average
Maersk Line,4.3,413,--,29,"Work Life Balance, Company Culture, Salary & Benefits",,High
Vindhya Telelinks,4.1,413,1,31,"Job Security, Work Life Balance, Salary & Benefits",,High
Virtual Employee,3.4,413,--,43,,"Promotions / Appraisal, Job Security, Skill Development / Learning",Average
Pamac Finserve,3.4,412,--,18,,"Promotions / Appraisal, Salary & Benefits, Work Life Balance",Average
Craftsman Automation,3.9,412,--,16,"Salary & Benefits, Skill Development / Learning","Company Culture, Work Life Balance, Job Security",Average
Magneti Marelli Motherson Auto System,3.9,412,--,20,"Job Security, Skill Development / Learning",,Average
Zycus Infotech,3.0,412,157,64,,"Promotions / Appraisal, Salary & Benefits, Company Culture",Below Average
Baoiam Innovations,4.6,412,--,18,"Work Life Balance, Company Culture, Skill Development / Learning",,High
Macawber Beekay,4.1,412,1,12,"Job Security, Work Life Balance, Skill Development / Learning",,High
AT&T,4.1,412,157,50,"Salary & Benefits, Work Life Balance, Company Culture",,High
Krsnaa Diagnostics,3.7,412,10,20,,"Promotions / Appraisal, Salary & Benefits",Average
Sasken,3.5,411,50,70,,"Promotions / Appraisal, Job Security, Work Satisfaction",Average
R.S. Infraprojects,4.0,411,4,18,"Job Security, Work Life Balance, Skill Development / Learning",Promotions / Appraisal,Average
Reliance Jewels,3.9,411,--,26,"Job Security, Company Culture, Skill Development / Learning",Promotions / Appraisal,Average
Anlitiks,4.8,410,--,--,"Company Culture, Work Life Balance, Job Security",,High
Bharat Gears,4.1,410,--,22,"Job Security, Skill Development / Learning, Company Culture","Promotions / Appraisal, Salary & Benefits",High
Monte Carlo,4.2,410,3,22,"Salary & Benefits, Work Life Balance, Company Culture",,High
Congruex Asia Pacific,3.3,410,2,44,,"Promotions / Appraisal, Work Satisfaction, Job Security",Average
ExxonMobil,3.8,410,11,65,Salary & Benefits,"Promotions / Appraisal, Work Satisfaction",Average
Blackrock,3.9,410,--,98,"Company Culture, Skill Development / Learning, Job Security","Promotions / Appraisal, Salary & Benefits",Average
Marble Box,4.1,410,7,26,"Company Culture, Work Life Balance, Salary & Benefits",,High
CodeClouds,4.5,410,--,29,"Company Culture, Work Life Balance, Salary & Benefits",,High
Pinnacle Infotech,3.6,409,8,56,"Job Security, Skill Development / Learning","Company Culture, Promotions / Appraisal, Work Life Balance",Average
Wood Group,3.7,409,53,50,Salary & Benefits,Promotions / Appraisal,Average
Universal Sompo General Insurance,3.8,409,--,20,,Promotions / Appraisal,Average
Sulzer,3.9,408,2,26,Salary & Benefits,Promotions / Appraisal,Average
Watchyourhealth.com,4.8,408,--,6,"Salary & Benefits, Company Culture, Skill Development / Learning",,High
Spoton Logistics,4.5,407,7,16,"Company Culture, Work Satisfaction, Skill Development / Learning",,High
IRB Infrastructure,4.0,407,--,17,"Work Life Balance, Job Security, Company Culture","Promotions / Appraisal, Salary & Benefits",Average
Zolo,3.5,406,21,47,,"Promotions / Appraisal, Work Satisfaction, Work Life Balance",Average
IL&FS Engineering and Construction,4.4,406,--,13,"Company Culture, Work Life Balance, Work Satisfaction",,High
FMC Corporation,4.1,406,46,33,"Work Life Balance, Salary & Benefits, Skill Development / Learning",,High
Hindusthan National Glass,3.6,406,--,28,,"Promotions / Appraisal, Salary & Benefits, Company Culture",Average
Castrol,4.2,406,--,20,"Salary & Benefits, Work Life Balance, Company Culture",,High
Ergode IT Services,3.5,406,10,16,,"Job Security, Promotions / Appraisal, Company Culture",Average
Yokohama,3.7,406,3,18,,"Promotions / Appraisal, Work Satisfaction, Salary & Benefits",Average
Tredence,3.6,406,31,115,Skill Development / Learning,"Promotions / Appraisal, Work Life Balance, Work Satisfaction",Average
Roop Polymers,4.0,406,--,20,"Job Security, Company Culture",Promotions / Appraisal,Average
S P Singla Constructions,3.7,405,--,27,,"Promotions / Appraisal, Salary & Benefits, Company Culture",Average
Wockhardt Hospital,4.3,405,10,16,"Skill Development / Learning, Company Culture, Work Life Balance",,High
Electrosteel Casting,3.8,405,11,38,"Job Security, Work Life Balance","Promotions / Appraisal, Salary & Benefits",Average
Innominds Software,3.1,405,5,41,,"Promotions / Appraisal, Job Security, Salary & Benefits",Average
Cairn Energy,4.1,405,--,29,"Salary & Benefits, Work Life Balance, Skill Development / Learning",Job Security,High
Emerson Electric Co.,4.1,405,210,46,"Work Life Balance, Company Culture, Job Security",Promotions / Appraisal,High
India Post,3.8,404,--,17,"Job Security, Work Life Balance","Promotions / Appraisal, Work Satisfaction, Salary & Benefits",Average
Technotask Business Solutions,3.5,404,--,45,,"Promotions / Appraisal, Salary & Benefits, Job Security",Average
Mavenir Systems,3.7,404,8,48,,"Promotions / Appraisal, Work Life Balance, Company Culture",Average
Andritz Hydro Location India,3.8,404,29,22,,Promotions / Appraisal,Average
ZTE Corporation,3.9,403,--,19,,"Job Security, Promotions / Appraisal, Salary & Benefits",Average
Magic Bus India Foundation,3.9,403,7,24,"Skill Development / Learning, Company Culture",Promotions / Appraisal,Average
M Square Media,4.4,403,--,24,"Work Life Balance, Company Culture, Work Satisfaction",,High
Deloitte Digital,3.9,403,--,53,"Company Culture, Skill Development / Learning, Job Security",,Average
Navin Fluorine International,3.9,402,2,26,"Job Security, Salary & Benefits","Promotions / Appraisal, Skill Development / Learning",Average
Indecomm Global Services,3.8,402,10,24,,"Promotions / Appraisal, Salary & Benefits",Average
Bharat Biotech International,3.2,402,4,47,,"Promotions / Appraisal, Salary & Benefits, Company Culture",Average
Bahwan Engineering,4.2,401,2,21,"Job Security, Company Culture, Work Satisfaction",Promotions / Appraisal,High
Aster Dm Healthcare,3.8,401,58,37,,"Promotions / Appraisal, Salary & Benefits",Average
Central Public Works Department,4.2,401,--,12,"Work Life Balance, Work Satisfaction, Skill Development / Learning",Promotions / Appraisal,High
Iksula,3.6,401,2,26,,"Promotions / Appraisal, Job Security, Salary & Benefits",Average
PureSoftware,3.3,401,99,48,,"Job Security, Promotions / Appraisal, Skill Development / Learning",Average
N+A,3.8,401,10,122,Skill Development / Learning,,Average
Wipro HR Services,3.4,400,--,44,Job Security,"Promotions / Appraisal, Salary & Benefits, Work Satisfaction",Average
Almarai,4.3,400,--,15,"Company Culture, Skill Development / Learning, Job Security",,High
MediBuddy,3.9,400,1,29,"Salary & Benefits, Work Life Balance, Company Culture",,Average
FinThrive,3.8,400,10,18,Work Life Balance,Promotions / Appraisal,Average
Acadecraft,3.4,400,8,51,,"Job Security, Promotions / Appraisal, Salary & Benefits",Average
Paramount Health Services Tpa,3.8,400,16,24,Job Security,"Promotions / Appraisal, Salary & Benefits",Average
LIC Housing Finance,4.1,399,--,16,"Job Security, Salary & Benefits, Skill Development / Learning",,High
SIS Prosegur Holdings,3.6,399,7,11,,"Promotions / Appraisal, Salary & Benefits, Work Life Balance",Average
Senco Gold,4.0,399,2,24,"Job Security, Skill Development / Learning, Company Culture",,Average
Sarovar Hotels & Resorts,4.2,399,9,8,"Work Life Balance, Work Satisfaction, Job Security",,High
Serum Institute of India,4.2,399,--,28,"Job Security, Work Life Balance, Salary & Benefits",Promotions / Appraisal,High
Fena,4.1,398,3,19,"Job Security, Salary & Benefits",,High
Hero Cycles,3.6,398,5,39,,"Promotions / Appraisal, Work Satisfaction, Job Security",Average
Pepperfry,3.3,398,--,30,,"Promotions / Appraisal, Job Security, Work Satisfaction",Average
Sterling Holiday Resort,3.9,398,20,19,,,Average
GAVS Technologies,3.8,398,7,54,,Promotions / Appraisal,Average
Magus Customer Dialog,3.7,397,--,10,Skill Development / Learning,Salary & Benefits,Average
Jorie Healthcare,4.6,397,1,6,"Company Culture, Job Security, Work Life Balance",,High
Anmol Industries,3.9,397,--,24,,,Average
Accel Frontline,3.9,397,20,7,,Promotions / Appraisal,Average
Siemens Healthineers,4.0,397,--,57,"Job Security, Work Life Balance, Company Culture",Promotions / Appraisal,Average
Otsuka Pharmaceutical India Private Limited,4.2,396,13,24,"Job Security, Work Life Balance, Company Culture",,High
Westin,4.0,396,--,19,"Job Security, Skill Development / Learning, Company Culture",,Average
OLX Autos,3.9,396,--,24,Salary & Benefits,"Job Security, Promotions / Appraisal",Average
Hpl Electric & Power,3.5,396,--,26,,"Promotions / Appraisal, Salary & Benefits, Work Satisfaction",Average
Larsen & Toubro Group,4.1,395,--,92,"Job Security, Skill Development / Learning, Company Culture",,High
Karvy DigiKonnect,3.1,395,--,7,,"Salary & Benefits, Job Security, Promotions / Appraisal",Average
Puropale Creations & IT Solutions,4.6,395,--,1,"Company Culture, Job Security, Skill Development / Learning",,High
Uttar Pradesh Power Corporation,4.1,395,--,7,Work Life Balance,Promotions / Appraisal,High
Great Learning,3.8,395,9,54,,"Promotions / Appraisal, Skill Development / Learning, Work Satisfaction",Average
Prestige Group,4.3,395,16,35,"Job Security, Work Life Balance, Company Culture",,High
Home First Finance Company India,3.8,394,160,50,"Company Culture, Job Security, Salary & Benefits",Work Life Balance,Average
GD Goenka Public School,3.7,394,12,33,,"Promotions / Appraisal, Job Security, Salary & Benefits",Average
Prime Focus Technologies,3.5,394,9,38,,"Promotions / Appraisal, Salary & Benefits, Job Security",Average
Mahindra Integrated Business Solutions,3.5,394,--,26,,"Promotions / Appraisal, Salary & Benefits, Work Satisfaction",Average
Hafele,4.1,394,6,25,"Job Security, Company Culture, Work Life Balance",Promotions / Appraisal,High
Narayana e-Techno School,3.6,394,1,28,,"Promotions / Appraisal, Work Life Balance, Salary & Benefits",Average
Recpdcl.ltd,4.0,393,--,17,,"Job Security, Promotions / Appraisal",Average
Dusters Total Solutions Services,3.9,393,1,15,,Promotions / Appraisal,Average
British Council,3.6,393,--,20,Work Life Balance,"Promotions / Appraisal, Salary & Benefits, Job Security",Average
Sayaji Hotels,4.2,393,--,11,"Company Culture, Skill Development / Learning, Work Life Balance",,High
Elite Elevators,3.8,393,45,29,"Salary & Benefits, Skill Development / Learning, Promotions / Appraisal",,Average
Alcon,3.7,393,25,31,,"Promotions / Appraisal, Job Security, Work Satisfaction",Average
UTL Solar,3.6,393,14,37,,"Promotions / Appraisal, Salary & Benefits, Job Security",Average
PayU Payments,3.6,393,37,45,,"Promotions / Appraisal, Job Security, Work Satisfaction",Average
smartData Enterprises,3.4,393,5,28,,"Job Security, Salary & Benefits, Work Life Balance",Average
Micron Electricals,4.0,393,--,28,"Job Security, Skill Development / Learning",,Average
Al Turki Enterprises,3.7,392,--,16,,"Promotions / Appraisal, Company Culture, Salary & Benefits",Average
Ciena,4.4,392,--,33,"Company Culture, Work Life Balance, Salary & Benefits",,High
Ebixcash Global Services,3.5,392,3,35,,"Promotions / Appraisal, Salary & Benefits, Company Culture",Average
GSPANN Technologies,4.4,392,30,33,"Work Life Balance, Company Culture, Job Security",,High
Global Healthcare Billing Partners,3.5,392,84,29,,"Company Culture, Promotions / Appraisal, Skill Development / Learning",Average
Iron Mountain Inc,3.9,391,4,21,"Work Life Balance, Company Culture",Promotions / Appraisal,Average
Allianz Services,4.3,391,18,23,"Job Security, Company Culture, Work Life Balance",,High
Nibav Lifts,3.9,391,10,35,"Salary & Benefits, Skill Development / Learning",,Average
MITS GLOBAL CONSULTING,4.7,391,--,18,"Work Life Balance, Company Culture, Work Satisfaction",,High
Vedanta Limited,3.8,391,--,43,"Salary & Benefits, Job Security","Work Life Balance, Promotions / Appraisal",Average
Shivalik Small Finance Bank,3.9,391,17,31,Skill Development / Learning,,Average
Juniper Networks,4.2,390,62,66,"Company Culture, Work Life Balance, Salary & Benefits",,High
QHTalbros,3.6,390,3,14,,"Promotions / Appraisal, Salary & Benefits, Company Culture",Average
Consulting Engineers Group,4.2,390,3,28,"Work Life Balance, Company Culture, Work Satisfaction",,High
Juniper Networks,4.2,390,62,66,"Company Culture, Work Life Balance, Salary & Benefits",,High
Padget Electronics,4.0,390,--,44,"Skill Development / Learning, Job Security, Work Satisfaction",,Average
ABC Consultants,3.9,390,115,145,"Work Life Balance, Job Security, Company Culture",,Average
Sterling,3.9,389,--,31,,,Average
Emaar India Limited,3.6,389,14,21,,"Promotions / Appraisal, Job Security, Skill Development / Learning",Average
Satyam Auto Components,3.8,389,1,26,Job Security,"Promotions / Appraisal, Salary & Benefits",Average
Nagarjuna Fertilizers and Chemicals,4.0,388,--,16,"Skill Development / Learning, Company Culture, Work Life Balance","Promotions / Appraisal, Salary & Benefits",Average
QUICK HEAL TECHNOLOGIES,3.8,388,--,25,,"Promotions / Appraisal, Salary & Benefits",Average
Allcargo Logistics,3.8,388,2,22,Job Security,Promotions / Appraisal,Average
DB Schenker,4.3,388,9,14,"Company Culture, Skill Development / Learning, Work Life Balance",,High
Debtcare Enterprises,4.5,387,--,9,"Company Culture, Skill Development / Learning, Job Security",,High
L&T Heavy Engineering,4.2,387,--,11,"Skill Development / Learning, Job Security, Work Satisfaction",,High
Eugia Pharma Specialities,4.1,387,--,21,"Job Security, Salary & Benefits, Work Life Balance",,High
H & R Johnson,3.6,387,--,8,,"Work Satisfaction, Promotions / Appraisal, Company Culture",Average
Suprajit Engineering,3.9,387,5,29,"Job Security, Skill Development / Learning",Salary & Benefits,Average
N.C.L. Industries,3.8,386,41,32,Job Security,"Promotions / Appraisal, Salary & Benefits",Average
Voyants Solutions,3.6,386,1,35,,"Promotions / Appraisal, Salary & Benefits, Job Security",Average
Alight Solutions,3.8,386,23,23,"Work Life Balance, Job Security","Promotions / Appraisal, Salary & Benefits",Average
Rakuten,3.7,386,16,82,Work Life Balance,Promotions / Appraisal,Average
Enco Engineers Combine,3.6,386,--,15,,"Promotions / Appraisal, Company Culture, Work Life Balance",Average
GHCL Limited,4.0,386,1,25,"Work Life Balance, Job Security, Company Culture",,Average
Consero Global Solutions,3.3,385,2,88,,"Promotions / Appraisal, Salary & Benefits, Work Satisfaction",Average
Satyam Venture Engineering Services,3.9,385,42,22,"Job Security, Work Life Balance",Promotions / Appraisal,Average
Vijai Electricals,3.6,385,2,13,,"Promotions / Appraisal, Salary & Benefits, Company Culture",Average
Acme Generics LLP,4.2,385,--,9,"Skill Development / Learning, Salary & Benefits, Work Life Balance",,High
Revent Group,3.9,385,--,15,Work Life Balance,Promotions / Appraisal,Average
National Stock Exchange of India,3.6,385,1,44,Job Security,"Promotions / Appraisal, Work Satisfaction, Skill Development / Learning",Average
Systra Consulting,4.0,385,--,30,Work Life Balance,Promotions / Appraisal,Average
Brainvire,3.3,384,3,20,,"Promotions / Appraisal, Job Security, Salary & Benefits",Average
Ess Kay Fincorp,4.0,384,6,12,"Company Culture, Skill Development / Learning, Work Satisfaction",,Average
Giesecke & Devrient,3.7,384,11,25,Work Life Balance,"Promotions / Appraisal, Skill Development / Learning, Work Satisfaction",Average
Eli Lilly and Company,4.0,384,83,60,"Work Life Balance, Job Security, Company Culture",Promotions / Appraisal,Average
Reliance Life Sciences,3.6,383,17,19,Job Security,"Promotions / Appraisal, Salary & Benefits, Work Satisfaction",Average
Reliance Projects & Property Management Services,4.1,383,--,22,"Job Security, Work Life Balance, Skill Development / Learning",Promotions / Appraisal,High
Galaxy Surfactants,3.9,383,2,21,"Job Security, Skill Development / Learning, Company Culture",Promotions / Appraisal,Average
Jiva Ayurvedic Pharmacy,3.8,383,26,30,Job Security,"Promotions / Appraisal, Salary & Benefits",Average
